t,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0,176,-46,-1859,132755,-69148,-74047,-39918,0,-341232,411971
0.05,4,-13,2,138650,-129300,0,0,739,31,-9408
0.1,10,6,12,143042,-133705,0,0,0,0,34
0.15,11,9,1,143391,-134449,0,0,0,0,178
0.2,14,-1,11,143912,-135192,0,0,0,0,636
0.25,7,4,15,144249,-135937,746,31,0,0,4
0.3,8,7,3,145214,-135902,0,0,0,0,144
0.35,9,8,7,146167,-136645,0,0,0,0,284
0.4,10,8,10,146503,-137391,0,0,0,0,432
0.45,14,1,6,147469,-138136,0,0,0,0,573
0.5,14,1,10,147805,-138103,0,0,0,0,-58
0.55,8,6,13,148758,-138848,0,0,0,0,399
0.6,8,6,17,149094,-139597,0,0,0,0,548
0.65,9,10,2,149969,-140374,0,0,0,0,693
0.7,13,0,13,150614,-140340,0,0,0,0,59
0.75,14,0,17,151320,-141088,0,0,0,0,206
0.8,15,4,5,151977,-141837,0,0,0,0,354
0.85,8,8,9,152560,-142587,0,0,752,31,34
0.9,9,9,12,153204,-142553,0,0,0,0,184
0.95,9,12,0,153799,-143304,0,0,0,0,334
1,13,2,11,154444,-144054,0,0,0,0,484
1.05,14,3,12,154998,-144052,0,0,0,0,165
1.1,15,3,15,155704,-144803,0,0,0,0,315
1.15,15,6,4,156423,-145555,0,0,0,0,467
1.2,8,11,7,156574,-145523,0,0,0,0,151
1.25,9,11,11,157280,-146275,0,0,0,0,303
1.3,13,1,18,157958,-147059,0,0,0,0,456
1.35,14,5,7,158738,-147025,0,0,0,0,134
1.4,14,5,10,158889,-147781,0,0,0,0,292
1.45,15,5,14,159594,-148535,0,0,0,0,446
1.5,16,6,14,160334,-148532,0,0,0,0,125
1.55,9,13,2,160621,-149288,0,0,0,0,283
1.6,12,3,13,161265,-149254,0,0,0,0,-37
1.65,13,4,17,162032,-150009,0,0,0,0,117
1.7,14,4,17,162279,-150798,0,0,0,0,591
1.75,14,7,5,162997,-150764,0,0,0,0,-44
1.8,15,7,8,163271,-151522,0,0,0,0,430
1.85,16,8,9,164072,-151518,0,0,0,0,-206
1.9,16,8,12,164285,-152277,0,0,0,0,270
1.95,12,5,8,165064,-153034,0,0,761,31,-366
2,13,6,11,165338,-153002,0,0,0,0,109
2.05,14,6,12,166016,-153791,0,0,0,0,581
2.1,14,6,15,166290,-153759,0,0,0,0,-49
2.15,15,7,16,167092,-154548,0,0,0,0,422
2.2,15,10,4,167378,-154515,0,0,0,0,105
2.25,16,10,7,167714,-155276,0,0,0,0,268
2.3,19,0,15,168454,-155273,0,0,0,0,-53
2.35,12,5,18,168727,-156034,0,0,0,0,424
2.4,13,5,22,169001,-156001,0,0,0,0,-207
2.45,14,8,7,169754,-156793,0,0,0,0,267
2.5,14,8,10,170089,-156759,0,0,0,0,-51
2.55,14,8,10,170459,-157553,0,0,0,0,113
2.6,15,9,14,170733,-157520,0,0,0,0,-204
2.65,16,9,17,171500,-158281,0,0,0,0,271
2.7,19,2,9,171882,-158279,0,0,0,0,-47
2.75,19,2,13,172156,-159042,0,0,0,0,119
2.8,12,7,13,172464,-159041,0,0,0,0,-198
2.85,13,7,17,173231,-159803,0,0,0,0,277
2.9,14,7,17,173601,-159801,0,0,0,0,-41
2.95,14,10,5,173887,-160565,0,0,0,0,440
3,15,11,5,174257,-160564,0,0,0,0,122
3.05,15,11,9,174592,-161328,0,0,0,0,289
3.1,15,11,12,174866,-161295,0,0,0,0,-28
3.15,19,1,20,175297,-162091,0,0,0,0,452
3.2,19,1,23,175632,-162058,0,0,0,0,135
3.25,20,5,8,176385,-162055,0,0,0,0,-186
3.3,13,9,11,176782,-162820,0,0,0,0,294
3.35,14,9,12,177090,-162818,0,0,0,0,-22
3.4,14,10,15,177425,-163584,0,0,0,0,459
3.45,14,10,15,177795,-163582,0,0,0,0,142
3.5,15,10,19,178130,-164348,0,0,768,31,-176
3.55,15,13,3,178451,-164347,0,0,0,0,307
3.6,19,3,11,178882,-164345,0,0,0,0,-325
3.65,19,3,14,179217,-165112,0,0,0,0,158
3.7,20,3,15,179526,-165111,0,0,0,0,-159
3.75,20,4,18,179922,-165877,0,0,769,31,-477
3.8,20,4,18,180292,-165876,0,0,0,0,6
3.85,13,8,22,180627,-165842,0,0,0,0,-311
3.9,13,11,6,180578,-166643,0,0,0,0,490
3.95,14,12,9,180852,-166610,0,0,0,0,173
4,14,12,10,181283,-166608,0,0,0,0,-145
4.05,15,12,13,181680,-167375,0,0,0,0,339
4.1,15,12,14,182050,-167374,0,0,0,0,21
4.15,19,2,21,182419,-168174,0,0,770,31,-296
4.2,19,2,25,182754,-168140,0,0,0,0,188
4.25,20,5,9,183137,-168139,0,0,0,0,-129
4.3,19,5,12,183040,-168909,0,0,0,0,360
4.35,20,6,13,183472,-168907,0,0,0,0,42
4.4,20,6,13,183842,-168906,0,0,0,0,-276
4.45,21,6,16,184238,-169674,0,0,0,0,209
4.5,14,11,17,184608,-169673,0,0,0,0,205
4.55,14,11,20,184511,-169641,0,0,0,0,-108
4.6,14,11,20,184820,-170443,0,0,0,0,378
4.65,15,14,4,185202,-170441,0,0,0,0,61
4.7,15,14,8,185660,-170407,0,0,0,0,-258
4.75,19,4,16,186030,-171209,0,0,0,0,228
4.8,19,4,16,185969,-171209,0,0,0,0,229
4.85,20,5,19,186797,-171173,0,0,0,0,-93
4.9,20,5,20,187228,-171975,0,0,0,0,392
4.95,20,5,23,187131,-171943,0,0,0,0,79
5,21,5,23,187563,-171941,0,0,0,0,-239
5,21,5,23,187563,-171941,0,0,0,0,-239
