parameter	expected	low	high	distribution	unit	references
tank_cost_per_m3	2600	1820	3380	uniform	USD/m3	Lohman et al. 2020 Environ. Sci. Technol. 54, 9217-9227. SI Table S17: conical plastic precipitation reactor at $1,300 per 500 L = $2,600/m3; ±30% uncertainty range
tank_lifetime	8	5.6	10.4	uniform	yr	Lohman et al. 2020 SI Table S17 (8 yr expected); consistent with blower_lifetime in _EL_blower.tsv
dosing_pump_cost	150	105	195	uniform	USD	AliExpress BOM: https://www.aliexpress.us/item/3256804645639765.html; ±30% uncertainty range; consistent with dosing_pump_cost in _EL_Anoxic.tsv
pump_lifetime	5	3.5	6.5	uniform	yr	assumption; consistent with pump_lifetime used across all EnviroLoo unit TSV files
pipeline_connectors	13.16	9.212	17.108	uniform	USD	eco-filtration.co.uk BOM: https://www.eco-filtration.co.uk/product/110mm-4-pond-threaded-tank-connector; ±30% uncertainty range; same value as _EL_blower.tsv and _EL_Aerobic.tsv
weld_female_adapter_fittings	6.87	4.809	8.931	uniform	USD	thedrainagesource.com BOM: https://thedrainagesource.com/4-pvc-sdr35-solvent-weld-female-adapter; ±30% uncertainty range; same value as _EL_blower.tsv and _EL_Aerobic.tsv
pipeline_connectors_lifetime	5	3.5	6.5	uniform	yr	assumption; consistent with pipeline_connectors_lifetime in _EL_blower.tsv
weld_female_adapter_fittings_lifetime	5	3.5	6.5	uniform	yr	assumption; consistent with weld_female_adapter_fittings_lifetime in _EL_blower.tsv
price_MgCl2_per_kg	0.50	0.19	1.50	uniform	USD/kg	Expected: APAC bulk export price (~$180/MT; ChemAnalyst Q4 2025) plus estimated freight and import duties to South Africa. Low: Alibaba.com bulk industrial grade MgCl2 Chinese export price ($0.19/kg). High: Masiye Labs South Africa retail price R1,598/25 kg = R63.92/kg = $3.61/kg at 17.73 ZAR/USD (Nedbank Reuters June 2025); $1.50/kg used as conservative upper bound for bulk procurement below retail scale. Exchange rate: Nedbank Group Economic Unit daily rates, June 2025 (17.73 ZAR/USD).
blower_cost	40	28	52	uniform	USD	EnviroLoo BOM; same source and value as blower_cost in _EL_blower.tsv; small air blower for reactor mixing and CO2 stripping confirmed by field reactor report (IC_P_Recovery_Overview_Illinois_University_Updated); ±30% uncertainty range
blower_lifetime	8	5.6	10.4	uniform	yr	assumption; consistent with blower_lifetime in _EL_blower.tsv and _EL_Aerobic.tsv
power_demand_blower	2	1.4	2.6	uniform	kWh/day	assumption; consistent with power_demand_blower in _EL_blower.tsv and _EL_Aerobic.tsv; ±30% uncertainty range
eff_PO4_mgL	6.55	1.31	27.50	triangular	mg/L	Fixed-target effluent PO4 from SR, calculated from corrected influent PO4 to SR (65.49 mg/L, mass-balance-corrected per urine diversion split using f_urine_P=0.61 applied to total P mass then divided by urine-only flow volume). Expected: 90% P removal (Etter et al. 2011, Water Res. 45, 852-862; Maurer et al. 2006). Low: 98% P removal (Antonini et al. 2011, CLEAN-Soil Air Water, validated on diluted urine, most relevant to this system's dilute influent). High: 58% P removal (EnviroLoo field reactor, IC_P_Recovery_Overview_Illinois_University_Updated, real-world non-optimized performance).
precip_yield	0.70	0.55	0.85	triangular	fraction	Fraction of precipitated struvite captured as solid (harvest efficiency), distinct from eff_PO4_mgL (P removal from solution). Expected: 0.70, EnviroLoo field reactor trial harvest efficiency of 68.7% (IC_P_Recovery_Overview_Illinois_University_Updated). Low: 0.55, consistent with pilot-scale struvite harvest losses from crystal washout (Hug, A., Udert, K.M. 2018-style pilot studies; Antonini et al. 2011 pilot reported 94% precipitation but only 55% recovery due to crystal washout). High: 0.85, reflects potential for improved harvest under more controlled conditions than the field trial, while remaining below idealized lab values.
